"Sample","Age","Sex","Ethnicity","DTNEW_2R","DTNEW_3R","DTNEW_4R","DTNEW_5R","DTNEW_10R","DTNEW_17R","DTNEW_18R","DTNEW_29R","DTNEW_30R","DTNEW_47R","DTNew_48","DTNew_53","DTNew_58","DTNew_60","DTNew_61","DTNew_63","DTNew_64","DTNew_67","DTNew_69","DTNew_70","DTNew_71","DTNew_72","DTNew_73","DTNew_77","DTNew_82","DTN","DTP","DTN25","DTP25","DTS_1","DTS_2","DTS_3","DTS_4","DTS_5","DTS_7r","DTS_8","DTS_9","DTS_10","DTS_11","DTS_12","DTS_13","DTS_14","DTS_16","DTS_Mean","FDSR_1","FDSR_2","FDSR_3","FDSR_4","FDSR_5","FDSR_6","FDSR_7","FDSR_8","FDSR_9","FDSR_10","FDSR_11","FDSR_12","FDSR_13","FDSR_14","FDSR_15","FDSR_16","FDSR_17","FDSR_18","FDSR_19","FDSR_20","FDSR_21","FDSR_22","FDSR_23","FDSR_24","FDSR_25","FDSR_26","FDSR_27","FDSR_28","FDSR_29","FDSR_30","FDSR_31","FDSR_32","FDSR_33","FDSR_34","FDSR_35","FDSTotPosDir_Mean","TDASS_1","TDASS_2","TDASS_3","TDASS_4","TDASS_5","TDASS_6","TDASS_7","TDASS_8","TDASS_9","TDASS_10","TDASS_11","TDASS_12","TDASS_13","TDASS_14","TDASS_15","TDASS_16","TDASS_17","TDASS_18","TDASS_19","TDASS_20","TDASS_21","TDASS_22","TDASS_23","TDASS_24","TDASS_25","TDASS_Mean","DRS_1","DRS_2","DRS_3r","DRS_4r","DRS_5","DRS_6","DRS_7","DRS_8r","DRS_9","DRS_10","DRS_11r","DRS_12","DRS_13r","DRS_14r","DRS_15","DRS_Mean","GRIT_1","GRIT_2","GRIT_3","GRIT_4","GRIT_5","GRIT_6","GRIT_7","GRIT_8","GRIT_9","GRIT_10","GRIT_11","GRIT_12","GRIT_Mean","GRIT_PESub_mean","RS_1","RS_2","RS_3","RS_4","RS_5","RS_6","RS_7","RS_8","RS_9","RS_10","RS_11","RS_12","RS_13","RS_14","RS_15","RS_16","RS_17","RS_18","RS_19","RS_20","RS_21","RS_22","RS_23","RS_24","RS_25","RS_26","RS_Mean","TRAITNA_Mean","TRAITPA_Mean","STATENA_Mean","STATEPA_Mean","PSS_Mean","Nurgency","SS","persev","Premed","purgency","Tanx","Sanx","Dep","Eat","Alcfreq","Alcprobs","DrugFreq","Drugprobs","Aspd","Bpd","BMTT_Quit","Pasat_Quit","CMTT_Quit","BxComp","ExtDT"
4,28,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,4,1,1,1,2,3,1,1,1.42857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344076125558788,NA,0.918594556909933,NA,-1.5193826437691,1.4884985457067,0.0246739614616394,-0.25008094316283,-1.59780700644602,-0.570167460936201,NA,0.452089597061213,0.453873713541048,0.455250651902183,-1.48303752491329
3,20,1,1,4,4,4,3,4,5,3,5,5,2,3,2,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4.1,4.09375,4,3,5,3,2,5,3,3,4,3,4,4,3,3,3.85714285714286,4,3,4,3,4,4,3,5,5,5,5,4,5,3,5,4,4,3,5,3,4,3,4,3,4,4,3,3,3,2,4,4,3,4,4,4.22857142857143,4,4,4,4,4,4,4,3,4,3,3,2,4,4,4,4,2,4,4,4,4,4,2,4,4,3.52,2,2,3,4,1,2,2,4,2,2,3,3,4,2,4,2.2,3,3,3,1,4,5,4,5,NA,4,3,4,3.58333333333333,3.33333333333333,7,7,7,7,7,7,5,6,4,6,7,7,6,6,4,5,6,6,7,7,7,3,3,6,3,6,5.12,1.26666666666667,2.2,1.2,1.4,9,20,32,14,17,17,-0.109491976699708,1.15,NA,1.38888888888889,-0.790690805468696,0.319025243934608,0.412296497867262,2.02049523920445,0.719659043224434,NA,1.31215673413916,NA,0.40195062853099,1.21204233204063,0.729081181561119
1,29,1,0,5,5,5,5,5,5,4,5,5,5,4,4,5,4,NA,4,4,4,4,3,4,5,5,4,5,4.83333333333333,4.4,4.9,4.125,5,5,5,2,5,4,4,4,5,2,3,5,4,3,3.28571428571429,5,1,3,3,5,4,3,3,3,3,3,4,5,4,3,2,4,4,5,3,4,4,4,3,4,4,4,4,4,4,2,5,3,5,3,3.37142857142857,5,5,5,3,4,4,4,5,5,5,4,3,3,5,3,3,5,5,5,4,3,5,1,4,3,3.88,3,3,3,4,3,3,3,2,3,2,4,3,3,4,3,2.68518518518519,5,4,3,4,3,3,4,4,2,4,2,5,4.08333333333333,4.16666666666667,6,6,6,6,6,5,6,7,6,7,2,4,7,6,6,5,6,7,7,6,6,3,6,5,6,6,5.2,3.06666666666667,2.6,2.46666666666667,3.2,2.1,2,2.91666666666667,2,2.09090909090909,1.64285714285714,2.225,1.9,1.4017062377829,0.0384615384615385,1.37099620909161,0.386456854432793,1.90009858685529,NA,NA,0.123280522002636,NA,NA,NA,NA,0.346710767707809
2,46,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.86666666666667,2,1,4,4,4,5,5,3,5,5,5,5,3,4,3.85714285714286,4,4,4,1,4,4,5,2,4,1,5,2,4,3,3,3,5,5,5,2,4,3,5,1,3,5,2,3,2,2,4,5,1,5,4,3.4,4,4,4,4,4,2,2,3,3,3,4,4,4,4,2,4,2,4,2,3,5,2,4,4,4,2.88,3,4,3,4,2,3,3,3,4,3,4,3,4,3,3,3.53333333333333,5,4,4,5,4,5,4,4,4,5,4,5,4,4.83333333333333,6,6,4,6,7,7,7,7,7,7,3,6,7,7,6,6,7,7,7,7,7,1,7,7,7,6,5.92,1.33333333333333,3.3,1.33333333333333,3,0.9,2.16666666666667,3.41666666666667,2,2.18181818181818,2.21428571428571,-1.27631218556755,1.9,NA,0.0769230769230769,0.0959570271104788,-0.340297975261025,-0.211122065206143,-0.204039401473517,-1.05137563481004,-0.676500366848326,NA,NA,NA,NA,0.141168355940707
2,40,1,1,5,5,5,4,4,5,5,4,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.2,4.1,4.375,3,2,3,4,1,4,4,4,1,4,5,2,2,4,3.35714285714286,3,3,3,4,4,3,1,4,3,2,3,4,4,4,2,5,3,4,3,3,3,1,4,3,3,4,3,4,4,2,3,3,2,4,2,3.05714285714286,3,3,3,3,3,2,3,2,2,2,2,2,2,3,2,3,4,5,3,4,2,4,3,3,2,2.56,2,2,3,3,3,3,2,4,2,1,3,3,2,3,3,2.53333333333333,4,3,3,3,3,5,3,3,4,2,3,5,3.58333333333333,3.66666666666667,4,5,5,6,3,3,4,3,6,7,2,7,5,7,5,5,3,2,4,4,5,3,4,4,7,7,4.44,1,4.3,1.13333333333333,3.4,0.4,1.91666666666667,2.58333333333333,1.5,1.54545454545455,2.42857142857143,0.26305671000247,2,NA,0.269230769230769,1.34302844393671,1.30963160176213,0.601427810627459,-0.204039401473517,0.0324373565330098,-0.135448465021552,NA,NA,NA,NA,-0.11703462385876
1,38,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,0.166666666666667,NA,-0.345229449193452,NA,NA,NA,NA,NA,NA,0.8994674830752,NA,NA,NA,NA,NA
2,31,1,0,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4.8,3,3,5,5,5,3,5,5,5,5,5,5,5,5,4.28571428571429,4,1,4,2,5,3,2,2,3,3,5,4,5,4,4,1,5,5,5,1,3,2,5,1,4,5,2,4,4,2,1,4,1,1,3,2.68571428571429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,2,4,2,4,1,1,4,4,3,2,4,2.53703703703704,5,4,5,3,5,5,5,5,4,3,5,5,4.41666666666667,4,6,5,5,2,3,7,6,4,1,6,1,3,7,5,7,4,5,6,7,5,3,3,6,7,7,7,5,2.53333333333333,2.6,1.8,2.3,2.2,2.75,2.75,1.7,2.27272727272727,1.14285714285714,-1.35733160112387,2.1,NA,0.692307692307692,1.93201306712121,1.30963160176213,-0.211122065206143,-0.204039401473517,0.381215939803241,-0.135448465021552,NA,NA,NA,NA,0.568903567072469
2,36,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41666666666667,2.16666666666667,1.8,2.09090909090909,1.64285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33423732020933,NA,NA,NA,NA,NA
2,39,0,0,3,3,3,4,4,3,3,4,4,4,3,3,4,4,4,2,3,5,3,2,2,2,3,4,3,3.83333333333333,3.6,3.8,2.8125,2,2,3,4,4,1,3,2,2,3,4,3,2,4,2.85714285714286,4,3,3,3,4,3,1,2,3,3,1,3,4,3,3,2,3,5,5,2,3,3,1,1,3,4,5,5,2,2,2,4,1,3,5,3.11428571428571,3,3,3,2,2,2,2,3,2,3,2,2,2,4,2,3,2,3,2,3,3,2,3,2,3,2.64,2,2,2,2,2,2,2,3,2,2,2,4,3,2,3,2.46666666666667,5,2,2,3,3,4,1,3,4,3,3,4,2.41666666666667,3.5,3,3,4,4,4,3,4,5,4,4,2,4,4,5,4,4,5,3,4,3,3,6,4,4,3,3,4.4,3.46666666666667,2.9,2.86666666666667,2.2,2.3,2.75,2.25,1.7,2.18181818181818,2.57142857142857,1.07325086556564,3.35,NA,0.0769230769230769,1.37099620909161,-0.340297975261025,-0.471088129025767,-0.204039401473517,0.931000546462383,0.0452656304215127,NA,NA,NA,NA,-0.179330102179076
1,26,0,0,3,3,3,4,3,2,3,2,2,3,2,4,4,2,4,3,2,2,3,3,3,3,4,4,3,2.6,3.6,2.8,3.46875,4,5,5,4,4,5,4,5,4,4,3,2,3,4,3.92857142857143,3,3,3,3,3,5,2,2,3,2,3,3,2,2,2,3,4,4,4,2,2,3,2,1,3,3,5,5,3,3,2,1,2,3,4,3.11428571428571,4,4,3,4,2,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,3,4,4,3,3,3.6,2,2,3,3,1,2,4,4,2,2,3,1,3,3,3,3,4,5,1,4,2,5,1,2,4,4,1,5,3,4.33333333333333,3,5,5,5,6,4,6,7,6,4,6,5,6,5,4,5,5,4,6,4,5,6,5,5,6,5,4.84,1.73333333333333,3.3,1.66666666666667,2.1,1.1,2,2.5,2.1,1.90909090909091,2,1.31666666666667,2.35,-0.726921378172634,0.0769230769230769,0.544883108741539,-0.587471042452782,-0.471088129025767,NA,NA,-1.1703644131183,NA,NA,NA,NA,-0.015658893936599
